pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,st_age,ra,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
K2-351 b,K2-351,1,1,Transit,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,7.80616400,,2.540,0.227,6.99000,0.02200,M-R relationship,2.340000,,934,,5769.00,1.05,1.02,0.080,[Fe/H],4.40,,206.6522408,-11.8049588,694.7340000,14.1950000,12.4970000,13.9854000
K2-352 b,K2-352,1,3,Transit,2021,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3.66591200,,1.370,0.122,2.45000,0.00771,M-R relationship,5.240000,,1160,,5791.00,0.95,0.98,-0.050,[Fe/H],4.47,,140.4451478,18.4696280,176.0510000,11.1250000,9.6910000,11.1147000
K2-352 c,K2-352,1,3,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,8.23488500,,1.920,0.171,4.35000,0.01370,M-R relationship,3.380000,,885,,5791.00,0.95,0.98,-0.050,[Fe/H],4.47,,140.4451478,18.4696280,176.0510000,11.1250000,9.6910000,11.1147000
K2-352 d,K2-352,1,3,Transit,2018,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,14.87138700,,2.230,0.199,5.60000,0.01760,M-R relationship,2.770000,,727,,5791.00,0.95,0.98,-0.050,[Fe/H],4.47,,140.4451478,18.4696280,176.0510000,11.1250000,9.6910000,11.1147000
K2-353 b,K2-353,1,1,Transit,2021,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,15.46680500,,5.550,0.495,26.30000,0.08290,M-R relationship,0.845000,,735,,5698.00,0.99,0.87,-0.210,[Fe/H],4.38,,201.6168564,-2.2819018,268.5150000,12.3370000,10.5470000,12.0988000
K2-354 b,K2-354,1,1,Transit,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3.79330600,,1.560,0.139,3.05000,0.00961,M-R relationship,4.410000,,543,,3669.00,0.41,0.43,-0.040,[Fe/H],4.86,,129.1299193,10.1472175,91.7220000,15.2960000,10.9640000,14.3753000
K2-355 b,K2-355,1,1,Transit,2021,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,5.73856470,0.063200,2.250,0.201,5.69000,0.01790,M-R relationship,2.740000,,1066,,5790.00,0.92,0.96,-0.120,[Fe/H],4.49,,124.6426189,13.5027816,500.4970000,13.7070000,12.0160000,13.5297000
K2-356 b,K2-356,1,1,Transit,2021,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,21.02673660,0.159900,2.290,0.204,5.86000,0.01840,M-R relationship,2.680000,,624,,5568.00,0.86,0.90,-0.110,[Fe/H],4.52,,128.3219134,13.6613758,355.5400000,13.2680000,11.5080000,13.1480000
K2-357 b,K2-357,1,1,Transit,2021,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,16.34886370,0.145000,3.720,0.332,13.40000,0.04200,M-R relationship,1.430000,,735,,5794.00,1.00,0.98,-0.020,[Fe/H],4.43,,131.9386628,16.3289144,517.6870000,13.7480000,11.9520000,13.4792000
K2-358 b,K2-358,1,1,Transit,2021,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,11.25102850,0.086300,2.680,0.239,7.65000,0.02410,M-R relationship,2.180000,,888,,5650.00,0.91,0.93,-0.070,[Fe/H],4.49,,133.8081054,18.9497263,480.3070000,13.6990000,11.9890000,13.5733000
K2-36 b,K2-36,1,2,Transit,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,1.42261400,0.022880,1.430,0.128,4.30000,0.01353,Mass,8.000000,0.093000,1328,K2 V,4916.00,0.72,0.79,-0.030,[Fe/H],4.62,1.400,169.4490102,3.8665038,109.7490000,11.7260000,9.4540010,11.5270000
K2-36 c,K2-36,1,2,Transit,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,5.34088800,0.055280,3.200,0.285,7.90000,0.02486,Mass,1.300000,0.089000,854,K2 V,4916.00,0.72,0.79,-0.047,[M/H],4.62,1.400,169.4490102,3.8665038,109.7490000,11.7260000,9.4540010,11.5270000
K2-365 b,K2-365,1,1,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,23.44817200,,2.906,0.259,8.78000,0.02760,M-R relationship,1.970000,,,,5561.00,1.05,0.82,-0.021,[Fe/H],4.31,,238.8197061,-21.0269691,187.2220000,11.3720000,9.6230000,11.5285000
K2-366 b,K2-366,1,1,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,15.93703900,,2.359,0.210,6.16000,0.01940,M-R relationship,2.580000,,,,5601.00,0.94,0.83,-0.216,[Fe/H],4.41,,243.6800912,-19.3468837,185.9470000,12.6360000,9.8750000,12.1351000
K2-367 b,K2-367,1,1,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,20.64509900,,2.413,0.215,6.41000,0.02020,M-R relationship,2.510000,,,,4348.00,0.62,0.76,-0.351,[Fe/H],4.73,,337.8588454,-13.2644554,176.9650000,13.7940000,10.9570000,13.3983000
K2-368 b,K2-368,1,3,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,5.02559800,,1.332,0.119,2.34000,0.00735,M-R relationship,5.440000,,,,4663.00,0.66,0.75,-0.250,[Fe/H],4.67,,332.6357627,-11.1661157,206.6080000,13.5810000,11.0420000,13.2207000
K2-368 c,K2-368,1,3,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,9.66018600,,1.361,0.121,2.42000,0.00762,M-R relationship,5.270000,,,,4663.00,0.66,0.75,-0.250,[Fe/H],4.67,,332.6357627,-11.1661157,206.6080000,13.5810000,11.0420000,13.2207000
K2-368 d,K2-368,1,3,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,20.20108500,,1.948,0.174,4.45000,0.01400,M-R relationship,3.310000,,,,4663.00,0.66,0.75,-0.250,[Fe/H],4.67,,332.6357627,-11.1661157,206.6080000,13.5810000,11.0420000,13.2207000
K2-369 b,K2-369,1,1,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,5.76161200,,1.313,0.117,2.28000,0.00717,M-R relationship,5.530000,,,,5682.00,0.88,0.73,-0.234,[Fe/H],4.42,,329.7262534,-10.8750666,185.5500000,11.7890000,9.9340000,11.3732000
K2-37 b,K2-37,1,3,Transit,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,4.44117000,0.051100,1.610,0.144,3.22000,0.01010,M-R relationship,4.240000,,974,G3 V,5413.00,0.85,0.90,-0.030,[Fe/H],4.52,,243.4509662,-24.7870527,179.9430000,12.5730000,10.1420000,12.2573000
K2-37 c,K2-37,1,3,Transit,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,6.42904000,0.065400,2.750,0.245,8.00000,0.02520,M-R relationship,2.110000,,861,G3 V,5413.00,0.85,0.90,-0.030,[Fe/H],4.52,,243.4509662,-24.7870527,179.9430000,12.5730000,10.1420000,12.2573000
K2-37 d,K2-37,1,3,Transit,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,14.09189000,0.110300,2.730,0.244,7.90000,0.02490,M-R relationship,2.130000,,663,G3 V,5413.00,0.85,0.90,-0.030,[Fe/H],4.52,,243.4509662,-24.7870527,179.9430000,12.5730000,10.1420000,12.2573000
K2-370 b,K2-370,1,1,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,2.14084000,,3.207,0.286,10.40000,0.03270,M-R relationship,1.730000,,1267,G8,5377.00,0.97,0.98,0.018,[Fe/H],4.45,,67.8205302,19.8316901,144.2020000,11.1090000,9.2370010,10.8824000
K2-371 b,K2-371,1,1,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3.11490500,,13.024,1.162,,,Msini,,,957,,4925.00,0.74,0.96,-0.107,[Fe/H],4.68,,128.0670932,11.6307099,442.8130000,14.4920000,12.3910000,14.3938000
K2-372 b,K2-372,1,1,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,9.84407700,,2.945,0.263,8.98000,0.02830,M-R relationship,1.930000,,,,5479.00,0.92,0.85,-0.064,[Fe/H],4.44,,130.7988719,13.0094226,463.8800000,13.5890000,11.8700000,13.4436000
K2-373 b,K2-373,1,1,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,11.02066000,,2.061,0.184,4.90000,0.01540,M-R relationship,3.080000,,,,6138.00,1.49,1.16,0.049,[Fe/H],4.16,,123.1361518,13.6884986,229.5670000,10.4700000,9.1630000,10.4244000
K2-374 b,K2-374,1,2,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,4.52195300,,1.593,0.142,3.16000,0.00996,M-R relationship,4.300000,,,G3,5789.00,0.91,0.73,-0.292,[Fe/H],4.39,,137.3794986,16.3558324,359.4390000,12.7830000,11.2870000,12.6473000
K2-374 c,K2-374,1,2,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,16.43445000,,2.213,0.197,5.53000,0.01740,M-R relationship,2.800000,,,G3,5789.00,0.91,0.73,-0.292,[Fe/H],4.39,,137.3794986,16.3558324,359.4390000,12.7830000,11.2870000,12.6473000
K2-375 b,K2-375,1,1,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,14.45389500,,2.243,0.200,5.66000,0.01780,M-R relationship,2.760000,,,,5822.00,1.54,1.12,-0.091,[Fe/H],4.11,,130.5013137,20.3593003,696.1000000,13.1640000,11.5570000,12.9572000
K2-376 b,K2-376,1,1,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,5.77647500,,1.736,0.155,3.66000,0.01150,M-R relationship,3.840000,,,G1,5937.00,1.15,0.91,-0.176,[Fe/H],4.28,,132.7193327,25.0380824,161.6100000,10.4150000,9.0070000,10.2998000
K2-377 b,K2-377,1,1,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,12.83223500,,1.693,0.151,3.51000,0.01100,M-R relationship,3.970000,,,,4200.00,0.69,0.82,-0.008,[Fe/H],4.67,,202.8978870,-12.0951142,195.1490000,14.1070000,10.9940000,13.5859000
K2-378 b,K2-378,1,1,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,2.06043800,,2.880,0.257,8.65000,0.02720,M-R relationship,1.990000,,,,4823.00,0.73,0.92,-0.206,[Fe/H],4.67,,205.1596569,-11.1172332,687.9730000,16.0290000,13.3920000,15.5122000
K2-379 b,K2-379,1,1,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,8.77724700,,2.181,0.195,5.40000,0.01700,M-R relationship,2.860000,,,,4603.00,0.75,0.86,-0.045,[Fe/H],4.62,,283.0317641,-27.1807287,182.2070000,13.2650000,10.5140000,12.8995000
K2-38 b,K2-38,1,2,Transit,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,4.01593000,0.050300,1.655,0.148,7.70000,0.02423,Mass,9.300000,0.110000,1310,G2 V,5705.00,1.14,1.05,0.235,[Fe/H],4.36,6.100,240.0333095,-23.1894196,192.6900000,11.3440000,9.4700000,11.1840000
K2-38 c,K2-38,1,2,Transit,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,10.56103000,0.095900,2.490,0.222,7.40000,0.02328,Mass,2.630000,0.086000,949,G2 V,5705.00,1.14,1.05,0.235,[Fe/H],4.36,6.100,240.0333095,-23.1894196,192.6900000,11.3440000,9.4700000,11.1840000
K2-380 b,K2-380,1,1,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,9.40131200,,2.729,0.243,7.89000,0.02480,M-R relationship,2.130000,,,,5911.00,1.32,0.99,-0.049,[Fe/H],4.19,,283.4346389,-26.5387308,249.3030000,11.6880000,9.6810000,11.4419000
K2-381 b,K2-381,1,3,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,7.93893340,,1.075,0.096,1.26000,0.00396,M-R relationship,5.570000,,,,4473.00,0.68,0.75,-0.244,[Fe/H],4.65,,288.0267612,-21.0075789,145.7010000,12.8830000,10.3020000,12.6373000
K2-381 c,K2-381,1,3,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,16.03465600,,2.000,0.178,4.66000,0.01470,M-R relationship,3.200000,,,,4473.00,0.68,0.75,-0.244,[Fe/H],4.65,,288.0267612,-21.0075789,145.7010000,12.8830000,10.3020000,12.6373000
K2-381 d,K2-381,1,3,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,26.80302300,,1.689,0.151,3.50000,0.01100,M-R relationship,3.990000,,,,4473.00,0.68,0.75,-0.244,[Fe/H],4.65,,288.0267612,-21.0075789,145.7010000,12.8830000,10.3020000,12.6373000
K2-382 b,K2-382,1,1,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,21.70015600,,2.072,0.185,4.95000,0.01560,M-R relationship,3.060000,,,,5452.00,0.81,0.92,-0.027,[Fe/H],4.58,,287.4125267,-19.6269336,278.4120000,12.9770000,11.0460000,12.7667000
K2-383 b,K2-383,1,1,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,1.86596200,,1.564,0.140,3.07000,0.00965,M-R relationship,4.410000,,,,5129.00,0.80,1.06,0.187,[Fe/H],4.66,,282.0087650,-18.3795798,203.7880000,12.6890000,10.4560000,12.4429000
K2-384 b,K2-384,1,5,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,2.23152700,,1.076,0.096,1.26000,0.00398,M-R relationship,5.560000,,,M4 V,3623.00,0.35,0.33,0.068,[Fe/H],4.87,,20.4998403,0.7509701,82.6603000,16.1200000,11.2940000,15.0276000
K2-384 c,K2-384,1,5,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,4.19476600,,1.191,0.106,1.82000,0.00572,M-R relationship,5.920000,,,M4 V,3623.00,0.35,0.33,0.068,[Fe/H],4.87,,20.4998403,0.7509701,82.6603000,16.1200000,11.2940000,15.0276000
K2-384 d,K2-384,1,5,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,6.67958200,,1.392,0.124,2.52000,0.00792,M-R relationship,5.130000,,,M4 V,3623.00,0.35,0.33,0.068,[Fe/H],4.87,,20.4998403,0.7509701,82.6603000,16.1200000,11.2940000,15.0276000
K2-384 e,K2-384,1,5,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,9.71504300,,1.345,0.120,2.37000,0.00747,M-R relationship,5.350000,,,M4 V,3623.00,0.35,0.33,0.068,[Fe/H],4.87,,20.4998403,0.7509701,82.6603000,16.1200000,11.2940000,15.0276000
K2-384 f,K2-384,1,5,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,13.62749000,,2.222,0.198,5.57000,0.01750,M-R relationship,2.790000,,,M4 V,3623.00,0.35,0.33,0.068,[Fe/H],4.87,,20.4998403,0.7509701,82.6603000,16.1200000,11.2940000,15.0276000
K2-385 b,K2-385,1,1,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,2.38086700,,1.539,0.137,2.98000,0.00939,M-R relationship,4.490000,,,,4844.00,0.76,0.93,-0.224,[Fe/H],4.64,,12.6140752,5.8712567,420.8190000,14.6450000,12.2370000,14.3355000
K2-386 b,K2-386,1,1,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,7.47322300,,2.320,0.207,5.99000,0.01890,M-R relationship,2.640000,,,,5749.00,0.97,0.91,0.074,[Fe/H],4.42,,18.2999964,7.0130302,428.7850000,13.2410000,11.5250000,12.9931000
K2-387 b,K2-387,1,1,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,28.73532700,,7.322,0.653,42.20000,0.13300,M-R relationship,0.591000,,,,3572.00,0.59,0.57,0.126,[Fe/H],4.66,,19.4418282,11.3684915,266.3180000,16.1470000,12.2860000,15.4948000
K2-388 b,K2-388,1,1,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,6.33906900,,3.660,0.327,13.00000,0.04090,M-R relationship,1.460000,,922,G8,5367.00,0.90,0.84,0.124,[Fe/H],4.46,,352.7139342,-11.0773564,290.4950000,12.8610000,10.9310000,12.6357000
K2-389 b,K2-389,1,2,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,8.58404300,,2.184,0.195,5.41000,0.01700,M-R relationship,2.850000,,,G3,5782.00,1.08,0.80,-0.034,[Fe/H],4.27,,355.6304152,-9.7135814,259.2080000,11.8270000,10.1840000,11.5697000
K2-389 c,K2-389,1,2,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,20.85133700,,2.040,0.182,4.82000,0.01520,M-R relationship,3.120000,,,G3,5782.00,1.08,0.80,-0.034,[Fe/H],4.27,,355.6304152,-9.7135814,259.2080000,11.8270000,10.1840000,11.5697000
K2-39 b,K2-39,1,1,Transit,2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,4.60543000,0.057080,6.277,0.560,28.60470,0.09000,Mass,0.500000,0.000000,1670,,4881.00,2.97,0.66,0.320,[Fe/H],3.44,3.090,338.3682095,-9.0229405,307.4700000,10.8310000,8.5160000,10.5959000
K2-390 b,K2-390,1,1,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3.31279200,,4.662,0.416,19.60000,0.06170,M-R relationship,1.060000,,1119,G4,5558.00,0.97,0.79,-0.116,[Fe/H],4.37,,355.7023860,-9.5887124,456.1220000,13.6110000,11.7180000,13.3434000
K2-391 b,K2-391,1,1,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,4.62265400,,1.371,0.122,2.45000,0.00772,M-R relationship,5.220000,,,G7,5543.00,0.57,0.76,-0.543,[Fe/H],4.97,,356.2260152,-7.7015151,507.9400000,12.5270000,10.7050000,12.3302000
K2-392 b,K2-392,1,1,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,15.39872300,,1.850,0.165,4.08000,0.01280,M-R relationship,3.540000,,,G3,5726.00,1.06,0.84,-0.238,[Fe/H],4.31,,354.6499065,-7.4788816,406.9850000,12.9220000,11.2380000,12.6795000
K2-393 b,K2-393,1,1,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,10.41318100,,2.352,0.210,6.13000,0.01930,M-R relationship,2.590000,,,,5678.00,1.07,0.88,0.076,[Fe/H],4.32,,348.5159113,-0.0821031,265.9140000,11.8400000,10.2840000,11.7768000
K2-394 b,K2-394,1,1,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,5.09571700,,1.692,0.151,3.51000,0.01100,M-R relationship,3.980000,,,,4938.00,0.63,0.48,-0.388,[Fe/H],4.52,,71.1100020,16.5185817,98.0152000,12.7680000,9.5680000,12.2095000
K2-395 b,K2-395,1,2,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,4.80335200,,2.597,0.232,7.26000,0.02280,M-R relationship,2.280000,,,K0,5007.00,0.78,0.95,-0.033,[Fe/H],4.63,,70.4438684,16.6743415,286.7270000,15.1310000,11.3650000,14.1559000
K2-395 c,K2-395,1,2,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,8.49128200,,3.395,0.303,11.40000,0.03600,M-R relationship,1.600000,,,K0,5007.00,0.78,0.95,-0.033,[Fe/H],4.63,,70.4438684,16.6743415,286.7270000,15.1310000,11.3650000,14.1559000
K2-396 b,K2-396,1,2,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0.67386200,,1.579,0.141,3.12000,0.00981,M-R relationship,4.350000,,,G9,5236.00,0.92,0.95,0.237,[Fe/H],4.49,,74.6928607,17.2690562,274.8640000,13.3200000,10.8110000,12.9345000
K2-396 c,K2-396,1,2,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,25.76051000,,3.124,0.279,9.93000,0.03120,M-R relationship,1.790000,,,G9,5236.00,0.92,0.95,0.237,[Fe/H],4.49,,74.6928607,17.2690562,274.8640000,13.3200000,10.8110000,12.9345000
K2-397 b,K2-397,1,1,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3.57232600,,2.417,0.216,6.42000,0.02020,M-R relationship,2.500000,,,G7,5387.00,0.97,0.94,0.110,[Fe/H],4.44,,79.9516586,21.2591617,199.3540000,11.8650000,9.9500000,11.6421000
K2-398 b,K2-398,1,2,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,6.39302500,,2.274,0.203,5.79000,0.01820,M-R relationship,2.710000,,,G2,5946.00,1.24,0.95,-0.257,[Fe/H],4.23,,161.7349738,1.9367044,606.9920000,13.2870000,11.7170000,13.0091000
K2-398 c,K2-398,1,2,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,18.78783900,,5.098,0.455,22.80000,0.07180,M-R relationship,0.946000,,,G2,5946.00,1.24,0.95,-0.257,[Fe/H],4.23,,161.7349738,1.9367044,606.9920000,13.2870000,11.7170000,13.0091000
K2-399 b,K2-399,1,1,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0.75997800,,6.049,0.540,30.50000,0.09590,M-R relationship,0.757000,,2529,F9,5690.00,1.54,0.78,0.252,[Fe/H],3.96,,158.0734448,2.2378452,515.4910000,12.4780000,10.9300000,12.3147000
K2-4 b,K2-4,1,1,Transit,2015,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,10.00341700,0.078000,2.100,0.187,5.06000,0.01590,M-R relationship,3.000000,0.080000,563,,4014.73,0.57,0.64,-0.120,[Fe/H],4.85,,174.7455392,-3.9055746,231.8280000,14.8550000,11.5710000,14.3403000
K2-400 b,K2-400,1,1,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3.86505300,,1.163,0.104,1.67000,0.00525,M-R relationship,5.830000,,,M3,3578.00,0.38,0.37,-0.051,[Fe/H],4.85,,154.5110307,3.6969271,62.3804000,15.1080000,10.4050000,13.9899000
K2-401 b,K2-401,1,1,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,6.29309900,,2.262,0.202,5.74000,0.01810,M-R relationship,2.730000,,,K7,4213.00,0.68,0.87,-0.098,[Fe/H],4.72,,154.9876040,3.9548275,200.7270000,14.0140000,11.1060000,13.6941000
K2-402 b,K2-402,1,1,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,17.27474000,,2.678,0.239,7.65000,0.02410,M-R relationship,2.190000,,,G2,5716.00,1.28,0.94,-0.378,[Fe/H],4.20,,161.4519130,6.4193180,523.0550000,13.0320000,11.3770000,12.8360000
K2-403 b,K2-403,1,1,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,33.58997900,,5.333,0.476,24.60000,0.07750,M-R relationship,0.891000,,,G4,5511.00,0.89,0.78,-0.162,[Fe/H],4.44,,164.1893864,9.6739464,246.5990000,12.3050000,10.5810000,12.1520000
K2-404 b,K2-404,1,1,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,13.11536500,,2.530,0.226,6.94000,0.02180,M-R relationship,2.350000,,,M1,3748.00,0.55,0.55,0.005,[Fe/H],4.70,,160.3249517,12.1911149,121.6300000,14.6220000,10.7500000,13.8429000
K2-405 b,K2-405,1,1,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3.43547100,,4.569,0.408,18.90000,0.05960,M-R relationship,1.090000,,969,K0,4927.00,0.77,1.03,0.132,[Fe/H],4.69,,164.3759959,12.5356140,197.2340000,12.8160000,10.5470000,12.5911000
K2-406 b,K2-406,1,1,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,22.54940600,,4.602,0.411,19.20000,0.06030,M-R relationship,1.080000,,,G4,5784.00,0.96,0.80,-0.038,[Fe/H],4.37,,230.8872242,-25.3706149,85.3751000,9.4650000,8.0330000,9.4937900
K2-407 b,K2-407,1,2,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,4.94190700,,1.283,0.114,2.19000,0.00690,M-R relationship,5.700000,,,G4,5563.00,0.93,0.88,0.014,[Fe/H],4.45,,232.5552584,-23.0067371,218.3760000,11.9690000,10.2130000,11.9956000
K2-407 c,K2-407,1,2,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,9.22453000,,1.360,0.121,2.42000,0.00761,M-R relationship,5.290000,,,G4,5563.00,0.93,0.88,0.014,[Fe/H],4.45,,232.5552584,-23.0067371,218.3760000,11.9690000,10.2130000,11.9956000
K2-408 b,K2-408,1,1,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,20.97895900,,1.677,0.150,3.45000,0.01090,M-R relationship,4.020000,,,G7,5335.00,0.78,0.81,-0.171,[Fe/H],4.56,,227.9168555,-17.6842698,162.3060000,12.0560000,9.9780000,11.7345000
K2-409 b,K2-409,1,1,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,1.90808400,,2.482,0.221,6.72000,0.02110,M-R relationship,2.420000,,,G4,5742.00,1.23,0.89,-0.036,[Fe/H],4.20,,228.4551125,-16.3512966,431.0310000,12.9020000,11.0380000,12.6144000
K2-411 b,K2-411,1,1,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3.21410000,0.051100,0.990,0.088,0.93700,0.00295,M-R relationship,5.310000,,,,5711.00,1.38,1.02,0.142,[Fe/H],4.17,,58.0036310,19.3909877,298.2190000,12.2700000,10.2710000,11.9872000
K2-412 b,K2-412,1,1,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,5.93820000,0.058600,2.116,0.189,5.13000,0.01610,M-R relationship,2.980000,,,,5590.00,0.98,0.89,0.014,[Fe/H],4.41,,76.2621295,21.5801620,654.0850000,15.7460000,12.5420000,15.1491000
K2-413 b,K2-413,1,2,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0.80940000,0.011700,0.760,0.068,0.36300,0.00114,M-R relationship,4.550000,,,,4116.00,0.70,0.81,-0.205,[Fe/H],4.66,,353.4175668,-7.6120272,285.1620000,15.0130000,11.8600000,14.5773000
K2-413 c,K2-413,1,2,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,5.33010000,0.042600,1.233,0.110,2.05000,0.00644,M-R relationship,6.010000,,,,4116.00,0.70,0.81,-0.205,[Fe/H],4.66,,353.4175668,-7.6120272,285.1620000,15.0130000,11.8600000,14.5773000
K2-414 b,K2-414,1,2,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,4.36960000,0.048700,1.219,0.109,1.98000,0.00622,M-R relationship,6.010000,,,,4343.00,0.73,0.81,-0.102,[Fe/H],4.62,,351.6361913,-4.6066569,260.0360000,14.2890000,11.4380000,13.9384000
K2-414 c,K2-414,1,2,Transit,2022,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,6.66900000,0.055200,1.929,0.172,4.38000,0.01380,M-R relationship,3.350000,,,,4343.00,0.73,0.81,-0.102,[Fe/H],4.62,,351.6361913,-4.6066569,260.0360000,14.2890000,11.4380000,13.9384000
K2-415 b,K2-415,1,1,Transit,2023,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,4.01796940,0.027000,1.015,0.091,7.50000,0.02360,Mass,,,412,M5 V,3173.00,0.20,0.16,-0.130,[Fe/H],5.07,,137.2015437,11.8622503,21.8182000,15.3300000,9.8990000,13.7957000
